Facility.ID,Jurisdiction,State,Name,Date,Residents.Confirmed,Staff.Confirmed,Residents.Deaths,Staff.Deaths,Residents.Recovered,Staff.Recovered,Residents.Tadmin,Residents.Negative,Residents.Pending,Residents.Quarantine,Staff.Quarantine,Residents.Active,Population.Feb20,Residents.Population,Residents.Tested,Address,Zipcode,City,County,Latitude,Longitude,county.fips,HIFLD.ID,jurisdiction_scraper,Description,Security,Age,Gender,Is.Different.Operator,Different.Operator,Capacity,Source.Population.Feb20,Source.Capacity,ICE.Field.Office
83,state,California,AVENAL STATE PRISON,6/3/20,599,29,0,NA,28,0,NA,NA,NA,NA,NA,NA,4204,NA,NA,1 KINGS WAY,93204,AVENAL,KINGS,35.97394934,-120.1231018,6031,10000826,NA,Prison,Med/Min,Adult,Male,FALSE,NA,2920,Public Records,HIFLD,NA
83,state,California,AVENAL STATE PRISON,6/4/20,837,50,0,NA,28,0,NA,NA,NA,NA,NA,NA,4204,NA,NA,1 KINGS WAY,93204,AVENAL,KINGS,35.97394934,-120.1231018,6031,10000826,NA,Prison,Med/Min,Adult,Male,FALSE,NA,2920,Public Records,HIFLD,NA
83,state,California,AVENAL STATE PRISON,6/5/20,839,50,0,NA,126,0,NA,NA,NA,NA,NA,NA,4204,NA,NA,1 KINGS WAY,93204,AVENAL,KINGS,35.97394934,-120.1231018,6031,10000826,NA,Prison,Med/Min,Adult,Male,FALSE,NA,2920,Public Records,HIFLD,NA
83,state,California,AVENAL STATE PRISON,6/6/20,839,51,0,NA,126,0,NA,NA,NA,NA,NA,NA,4204,NA,NA,1 KINGS WAY,93204,AVENAL,KINGS,35.97394934,-120.1231018,6031,10000826,NA,Prison,Med/Min,Adult,Male,FALSE,NA,2920,Public Records,HIFLD,NA
83,state,California,AVENAL STATE PRISON,6/7/20,839,51,0,NA,159,0,NA,NA,NA,NA,NA,NA,4204,NA,NA,1 KINGS WAY,93204,AVENAL,KINGS,35.97394934,-120.1231018,6031,10000826,NA,Prison,Med/Min,Adult,Male,FALSE,NA,2920,Public Records,HIFLD,NA
83,state,California,AVENAL STATE PRISON,6/8/20,841,51,0,NA,165,3,NA,NA,NA,NA,NA,NA,4204,NA,NA,1 KINGS WAY,93204,AVENAL,KINGS,35.97394934,-120.1231018,6031,10000826,NA,Prison,Med/Min,Adult,Male,FALSE,NA,2920,Public Records,HIFLD,NA
83,state,California,AVENAL STATE PRISON,6/9/20,843,51,0,NA,165,3,NA,NA,NA,NA,NA,NA,4204,NA,NA,1 KINGS WAY,93204,AVENAL,KINGS,35.97394934,-120.1231018,6031,10000826,NA,Prison,Med/Min,Adult,Male,FALSE,NA,2920,Public Records,HIFLD,NA
83,state,California,AVENAL STATE PRISON,6/10/20,844,56,0,NA,217,21,NA,NA,NA,NA,NA,NA,4204,NA,NA,1 KINGS WAY,93204,AVENAL,KINGS,35.97394934,-120.1231018,6031,10000826,NA,Prison,Med/Min,Adult,Male,FALSE,NA,2920,Public Records,HIFLD,NA
83,state,California,AVENAL STATE PRISON,6/11/20,894,60,0,NA,223,21,NA,NA,NA,NA,NA,NA,4204,NA,NA,1 KINGS WAY,93204,AVENAL,KINGS,35.97394934,-120.1231018,6031,10000826,NA,Prison,Med/Min,Adult,Male,FALSE,NA,2920,Public Records,HIFLD,NA
83,state,California,AVENAL STATE PRISON,6/12/20,896,61,0,NA,223,21,NA,NA,NA,NA,NA,NA,4204,NA,NA,1 KINGS WAY,93204,AVENAL,KINGS,35.97394934,-120.1231018,6031,10000826,NA,Prison,Med/Min,Adult,Male,FALSE,NA,2920,Public Records,HIFLD,NA
